Provider CCN,Hospital Name,Fiscal Year Begin Date,Fiscal Year End Date,number_of_beds
441314,LAUDERDALE COMMUNITY HOSPITAL,2020-10-01,2020-12-31,25
341317,LIFEBRITE COMMUNITY HOPITAL OF STOK,2020-10-01,2020-12-31,65
511320,JACKSON GENERAL HOSPITAL,2020-10-01,2020-12-31,25
520011,LAKEVIEW MEDICAL CENTER OF RICE LAKE,2020-10-01,2020-12-31,40
520037,MARSHFIELD MEDICAL CENTER,2020-10-01,2020-12-31,198
30147,BANNER OCOTILLO MEDICAL CENTER,2020-11-17,2020-12-31,94
340141,NEW HANOVER REGIONAL MEDICAL CENTER,2020-10-01,2021-01-31,800
150045,PARKVIEW - DEKALB HEALTH,2020-10-01,2020-12-31,57
230118,MCLAREN THUMB REGION,2020-10-01,2021-01-29,31
300005,LAKES REGION GENERAL HOSPITAL,2020-10-01,2021-04-30,96
50660,USC NORRIS CANCER HOSPITAL,2020-10-01,2020-12-31,60
50696,KECK HOSPITAL OF USC,2020-10-01,2020-12-31,331
190146,EAST JEFFERSON GENERAL HOSPITAL,2020-10-01,2020-12-31,335
490001,NORTON COMMUNITY HOSPITAL  INC.,2020-10-01,2021-02-27,73
364064,SUNRISEVISTA HEALTH AND WELLNESS,2020-11-21,2021-03-31,72
420057,MCLEOD MED CTR - DARLINGTON,2020-10-01,2020-12-31,59
260064,SSM HEALTH-ST. MARYS AUDRAIN,2021-01-01,2021-03-15,60
271337,NORTHERN ROCKIES MEDICAL CENTER,2020-10-01,2021-05-31,20
180070,OWENSBORO HEALTH TWIN LAKES MEDICAL,2021-01-01,2021-05-31,49
30146,HONORHEALTH SONORAN CROSSING MED CTR,2020-10-29,2020-12-31,70
520107,HOLY FAMILY MEMORIAL INC,2021-01-01,2021-06-30,58
340050,S.E. REGL MEDICAL CENTER,2020-10-01,2021-06-30,373
271324,PONDERA MEDICAL CENTER,2021-01-01,2021-05-31,79
413025,REHAB HOSP OF RI,2021-01-01,2021-03-31,82
670300,METHODIST MIDLOTHIAN MEDICAL CENTER,2021-03-24,2021-06-30,46
50136,PETALUMA VALLEY HOSPITAL,2021-01-01,2021-06-30,80
111333,JEFF DAVIS,2020-10-01,2021-09-30,35
490084,VCU HEALTH TAPPAHANNOCK HOSPITAL,2021-01-01,2021-06-30,67
50124,VERDUGO HILLS HOSPITAL,2021-01-01,2021-06-30,158
141337,OSF SAINT CLARE MEDICAL CENTER,2021-05-01,2021-06-30,25
320065,COVENANT HEALTH HOBBS HOSPITAL,2021-01-01,2021-06-30,61
510050,WHEELING HOSPITAL,2020-10-01,2021-09-30,367
510007,ST. MARYS MEDICAL CENTER  INC.,2020-10-01,2021-09-30,379
420026,PROVIDENCE HOSPITAL,2020-10-01,2021-07-31,332
454152,CANYON CREEK HOSPITAL,2020-12-31,2021-05-31,17
101993,DAYSTAR  INC.,2020-10-01,2021-09-30,
100029,NORTH SHORE MEDICAL CENTER AND FMC C,2021-06-01,2021-07-31,748
100183,CORAL GABLES HOSPITAL,2021-01-01,2021-07-31,245
100187,PALMETTO GENERAL HOSPITAL,2021-01-01,2021-07-31,360
